,title,area,numberOfRooms,price,town,district
0,BURGAZADA`DA SATILIK DAİRE,100.0,2+1,6.350.000,Burgazada,Burgazada Mh.
1,BÜYÜKADA SAHİLDE SATILIK DUBLEKS DAİRE HAVUZLU BALKONLU TERASLI,130.0,3+2,4.450.000,Büyükada,Maden Mh.
2,Planet'ten İskeleye Yakın Geniş 2+1 Bahçe Katı Daire,110.0,2+1,2.500.000,Büyükada,Nizam Mh.
3,BURGAZADA DA DENİZ MANZARALI SATILIK DAİRE!!!!,105.0,1+1,3.000.000,Burgazada,Burgazada Mh.
4,Büyükada Emlak'tan Ana Cadde de 4+1 Geniş Balkonlu Deniz Manzara,160.0,4+1,6.000.000,Büyükada,Nizam Mh.
5,Büyükada Emlak'tan 4+1 Panoramik Deniz Manzaralı Yalı Dairesi,210.0,4+1,11.000.000,Büyükada,Maden Mh.
6,Planet'ten Geniş Balkonlu Deniz Manzaralı Köşk Dairesi Ara Kat,148.0,2+1,7.500.000,Büyükada,Maden Mh.
7,Büyükada Emlak'tan Müstakil Bahçe Kullanımlı Dekorasyonlu Daire,128.0,3+1,6.500.000,Büyükada,Nizam Mh.
8,Murat'tan Merkezde 180 m2 Keyifli Daire,160.0,3+1,7.500.000,Büyükada,Maden Mh.
9,Filamingoda,180.0,2+1,5.300.000,Kınalıada,Kınalıada Mh.
10,Heybeliada Sahilde Deniz ve Orman Manzaralı Daire,125.0,2+1,4.450.000,Heybeliada,
11,Büyükada Emlak'tan 4+1 Hastane yolunda Bahçe Katı Daire,150.0,4+1,3.500.000,Büyükada,Nizam Mh.
12,BÜYÜK ADADA KISMİ DENİZ MANZARALI MÜSTAKİL TADINDA KEYİFLİ 3+1,150.0,3+1,3.300.000,Büyükada,Nizam Mh.
13,KINALI ADADA SAHİLE İSKELEYE ÇOK YAKIN 2+1 BAHÇELİ YENİLENMİŞ,95.0,2+1,3.400.000,Kınalıada,Kınalıada Mh.
14,Büyükada Emlak'tan Cadde de 3 +1 Muhteşem Manzaralı Ara Kat,140.0,3+1,7.500.000,Büyükada,Maden Mh.
15,BLUECORNERDAN BÜYÜK ADADA ANADOLU KULÜBÜNE YAKIN 4+1 355 M2 NET,540.0,4+1,6.995.000,Büyükada,Nizam Mh.
16,İyi konumda,200.0,3+1,7.700.000,Kınalıada,Kınalıada Mh.
17,BÜYÜK ADA NİZAM'DA MUHTEŞEM ŞIK BAHÇE KATI FULL EŞYALI,150.0,3+1,5.500.000,Büyükada,Nizam Mh.
18,İSKELE SOKAK'DA MUHTEŞEM MANZARALI 3+1 140 M2 DUBLEKS DAİRE,200.0,3+1,5.450.000,Kınalıada,Kınalıada Mh.
19,CADDE EMLAK'TAN HEYBELİADA'DA ÇOK GÜZEL KONUMDA 2+1 EŞYALI DAİRE,125.0,2+1,2.800.000,Heybeliada,
20,Sahibinden Deniz Manzaralı Dubleks Daire,110.0,2+1,5.000.000,Burgazada,Burgazada Mh.
21,Adalar Sedef Adası Muhteşem Deniz Manzaralı Yenilenmiş Müstakil,350.0,7+3,12.250.000,Büyükada,Maden Mh.
